date,temp_avg,temp_max,temp_min,humidity_avg,light_avg,co2_avg,record_count
2024-09-01,20.5,29.3,10.7,65.44,10133.0,603.63,24
2024-09-02,21.2,38.2,10.7,66.13,9908.0,597.01,24
2024-09-03,20.7,29.2,12.1,63.75,9548.0,607.98,24
2024-09-04,21.73,41.8,11.8,66.16,9957.0,605.85,24
2024-09-05,21.1,31.1,12.0,62.5,10038.0,604.93,24
2024-09-06,21.26,31.3,10.5,66.46,10021.0,614.97,24
2024-09-07,22.43,38.6,11.1,64.28,9697.0,596.95,24
2024-09-08,22.05,39.4,13.4,66.11,10360.0,613.07,24
2024-09-09,20.03,30.4,11.1,65.87,10209.0,598.85,24
2024-09-10,21.28,31.6,11.7,64.03,10221.0,598.52,24
2024-09-11,20.31,33.3,8.6,63.06,9975.0,595.9,24
2024-09-12,22.52,41.5,11.6,66.23,9873.0,598.78,24
2024-09-13,21.31,42.0,10.4,64.92,9798.0,595.48,24
2024-09-14,21.85,29.7,12.0,63.97,10018.0,604.51,24
2024-09-15,20.5,30.0,2.3,63.03,10471.0,593.68,24
2024-09-16,22.16,33.6,10.0,66.04,10091.0,601.02,24
2024-09-17,21.6,30.3,13.6,65.98,9904.0,604.08,24
2024-09-18,20.93,29.3,11.9,63.04,9623.0,608.05,24
2024-09-19,22.42,45.2,12.8,64.17,10413.0,597.49,24
2024-09-20,20.87,29.9,0.1,64.61,10607.0,597.07,24
2024-09-21,21.21,30.1,10.0,64.22,10201.0,615.61,24
2024-09-22,21.68,30.6,12.2,65.55,10067.0,599.7,24
2024-09-23,21.5,30.8,10.6,66.12,10045.0,600.77,24
2024-09-24,22.17,38.2,12.9,63.55,9404.0,597.43,24
2024-09-25,22.4,30.5,14.0,66.85,9640.0,605.2,24
2024-09-26,22.15,32.9,13.2,65.47,10098.0,597.69,24
2024-09-27,21.22,48.2,-0.3,66.11,10283.0,594.68,24
2024-09-28,22.15,31.2,12.9,66.1,9824.0,608.16,24
2024-09-29,21.98,30.0,13.9,65.58,10231.0,611.57,24
2024-09-30,22.7,40.7,13.1,64.52,10289.0,615.94,24
2024-10-01,23.32,41.5,14.3,64.13,10205.0,590.65,24
2024-10-02,21.93,31.7,10.0,64.56,10459.0,598.45,24
2024-10-03,22.79,31.4,12.9,63.18,10248.0,604.43,24
2024-10-04,22.67,31.4,14.4,65.32,9928.0,593.95,24
2024-10-05,22.07,31.9,12.7,65.14,9838.0,603.4,24
2024-10-06,23.02,31.3,12.8,65.36,9613.0,603.39,24
2024-10-07,22.49,36.8,6.2,66.28,10219.0,611.35,24
2024-10-08,22.49,32.4,12.5,64.32,9887.0,603.28,24
2024-10-09,23.22,38.8,12.3,64.74,10369.0,600.68,24
2024-10-10,22.65,32.0,13.9,63.57,10305.0,611.19,24
2024-10-11,23.15,32.4,14.3,66.66,10669.0,592.5,24
2024-10-12,22.54,32.8,12.4,66.57,9958.0,596.21,24
2024-10-13,22.35,32.7,7.3,64.55,9649.0,598.87,24
2024-10-14,23.55,35.6,13.7,65.54,9964.0,608.2,24
2024-10-15,22.17,32.1,0.2,65.58,10257.0,590.92,24
2024-10-16,22.45,32.3,5.9,64.05,10463.0,607.86,24
2024-10-17,22.85,30.5,14.3,63.86,9879.0,596.48,24
2024-10-18,22.78,30.9,8.8,64.12,9807.0,599.15,24
2024-10-19,22.63,31.3,1.6,64.65,9872.0,602.56,24
2024-10-20,23.72,40.7,13.1,64.6,9821.0,595.04,24
2024-10-21,21.93,32.8,-0.4,63.94,9665.0,595.18,24
2024-10-22,22.87,39.0,13.3,64.71,9644.0,586.8,24
2024-10-23,22.97,33.3,14.1,66.87,10369.0,602.57,24
2024-10-24,23.56,32.9,14.8,65.36,9672.0,586.51,24
2024-10-25,22.64,30.8,13.8,67.44,10010.0,608.6,24
2024-10-26,23.49,32.0,14.1,65.72,10125.0,603.86,24
2024-10-27,23.55,38.0,15.2,66.01,9675.0,600.5,24
2024-10-28,22.65,33.0,8.2,63.99,10029.0,601.35,24
2024-10-29,23.85,32.9,13.4,65.37,9473.0,600.87,24
2024-10-30,22.84,31.7,12.4,65.15,10513.0,593.63,24
2024-10-31,23.97,34.7,15.2,65.35,9965.0,597.32,24
2024-11-01,24.2,34.6,14.6,64.79,9825.0,594.4,24
2024-11-02,24.33,33.0,16.2,65.99,9585.0,597.48,24
2024-11-03,23.25,33.8,10.0,65.92,9678.0,606.92,24
2024-11-04,24.12,32.8,14.0,66.3,9540.0,611.64,24
2024-11-05,23.15,31.6,7.1,63.37,10506.0,607.49,24
2024-11-06,23.97,32.1,16.3,63.55,9758.0,599.27,24
2024-11-07,23.99,32.3,15.0,64.65,9942.0,599.49,24
2024-11-08,23.63,33.2,16.1,65.6,9838.0,603.79,24
2024-11-09,24.3,42.4,6.5,61.0,9802.0,604.73,24
2024-11-10,24.69,38.5,14.3,65.08,9888.0,598.54,24
2024-11-11,24.25,33.6,16.4,65.18,9615.0,600.83,24
2024-11-12,24.95,46.2,12.2,63.87,9802.0,596.31,24
2024-11-13,25.05,35.9,14.5,63.7,9785.0,591.67,24
2024-11-14,24.01,32.9,15.5,64.75,9778.0,600.29,24
2024-11-15,24.55,36.4,15.1,65.23,10234.0,596.5,24
2024-11-16,23.92,32.7,15.7,65.45,9813.0,590.48,24
2024-11-17,24.08,31.7,14.8,65.84,9869.0,588.82,24
2024-11-18,24.95,38.8,14.4,65.2,9943.0,595.63,24
2024-11-19,23.2,32.2,3.3,65.73,9760.0,595.06,24
2024-11-20,24.6,34.2,16.0,63.15,10005.0,597.73,24
2024-11-21,23.19,32.0,0.7,65.3,9802.0,611.35,24
2024-11-22,23.36,33.6,5.6,61.76,10070.0,593.96,24
2024-11-23,23.87,33.9,14.3,66.09,9781.0,596.79,24
2024-11-24,24.78,32.7,14.6,63.79,9764.0,605.84,24
2024-11-25,23.78,33.5,10.1,63.75,10119.0,602.8,24
2024-11-26,25.5,41.2,14.7,65.29,10114.0,604.33,24
2024-11-27,24.55,33.3,16.1,64.26,10259.0,604.37,24
2024-11-28,24.63,32.2,16.4,64.1,10197.0,588.07,24
2024-11-29,24.41,33.6,14.6,65.57,9726.0,592.1,24
