week_num,week_start,temp_avg,humidity_avg,light_avg,co2_avg
35,2024-09-01,20.5,65.44,10133.0,603.63
36,2024-09-02,21.5,65.06,9932.0,605.82
37,2024-09-09,21.12,64.44,10081.0,597.96
38,2024-09-16,21.55,64.8,10129.0,603.29
39,2024-09-23,21.94,65.68,9932.0,602.21
40,2024-09-30,22.64,64.6,10083.0,601.46
41,2024-10-07,22.7,65.24,10151.0,602.01
42,2024-10-14,22.88,64.63,10009.0,600.03
43,2024-10-21,23.0,65.72,9880.0,597.72
44,2024-10-28,23.59,65.22,9867.0,598.85
45,2024-11-04,23.98,64.22,9896.0,603.56
46,2024-11-11,24.4,64.86,9842.0,594.99
47,2024-11-18,23.99,64.43,9875.0,599.48
48,2024-11-25,24.57,64.59,10083.0,598.33
